iter	Passed	Remaining
238	571	1820
239	573	1816
240	575	1813
241	578	1810
242	580	1807
243	582	1803
244	584	1800
245	586	1797
246	588	1795
247	591	1792
248	593	1789
249	595	1787
250	597	1784
251	600	1780
252	602	1777
253	604	1774
254	606	1771
255	608	1768
256	610	1764
257	612	1761
258	614	1758
259	616	1755
260	619	1752
261	621	1750
262	623	1748
263	626	1745
264	628	1742
265	630	1738
266	632	1735
267	634	1732
268	636	1729
269	638	1726
270	640	1723
271	642	1720
272	645	1718
273	647	1715
274	649	1713
275	652	1710
276	654	1707
277	656	1704
278	658	1701
279	660	1698
280	662	1695
281	664	1692
282	666	1689
283	668	1686
284	671	1683
285	673	1680
286	675	1677
287	677	1674
288	679	1671
289	681	1668
290	683	1666
291	685	1663
292	687	1659
293	689	1656
294	691	1653
295	694	1650
296	696	1648
297	698	1644
298	700	1641
299	702	1638
300	704	1635
301	706	1633
302	709	1631
303	711	1628
304	713	1625
305	715	1622
306	717	1619
307	719	1616
308	721	1613
309	723	1610
310	725	1607
311	727	1604
312	729	1601
313	731	1598
314	733	1595
315	735	1593
316	738	1590
317	740	1587
318	742	1585
319	745	1583
320	747	1580
321	749	1578
322	751	1575
323	753	1572
324	755	1570
325	757	1567
326	760	1564
327	762	1561
328	764	1558
329	766	1555
330	768	1553
331	770	1550
332	772	1547
333	774	1545
334	777	1542
335	779	1540
336	781	1537
337	783	1534
338	785	1531
339	787	1529
340	790	1526
341	792	1524
342	794	1521
343	796	1518
344	798	1516
345	800	1513
346	802	1510
347	805	1508
348	807	1505
349	809	1503
350	811	1500
351	813	1497
352	815	1495
353	817	1492
354	820	1489
355	822	1487
356	824	1484
357	826	1482
358	828	1479
359	830	1476
360	832	1474
361	835	1471
362	837	1469
363	839	1466
364	841	1463
365	843	1461
366	845	1458
367	847	1455
368	849	1453
369	852	1450
370	854	1448
371	856	1445
372	858	1442
373	860	1440
374	862	1437
375	864	1434
376	866	1432
377	868	1429
378	870	1426
379	872	1424
380	874	1421
381	876	1418
382	878	1415
383	880	1412
384	882	1410
385	884	1407
386	887	1405
387	889	1402
388	891	1400
389	893	1397
390	895	1395
391	897	1392
392	899	1390
393	901	1387
394	903	1384
395	906	1382
396	908	1379
397	910	1376
398	912	1374
399	914	1371
400	916	1369
401	918	1366
402	920	1363
403	922	1361
404	924	1358
405	926	1356
406	929	1353
407	931	1350
408	933	1348
409	935	1345
410	937	1343
411	939	1340
412	941	1338
413	943	1335
414	945	1333
415	948	1331
416	950	1328
417	952	1325
418	954	1323
419	956	1320
420	958	1317
421	960	1315
422	962	1313
423	964	1310
424	967	1308
425	969	1305
426	971	1303
427	973	1301
428	975	1298
429	978	1296
430	981	1295
431	983	1293
432	986	1292
433	990	1291
434	992	1288
435	994	1286
436	996	1283
437	1000	1283
438	1002	1281
439	1004	1278
440	1007	1276
441	1009	1274
442	1011	1271
443	1013	1269
444	1015	1266
445	1017	1264
446	1020	1262
447	1022	1259
448	1024	1257
449	1026	1254
450	1028	1252
451	1030	1249
452	1032	1247
453	1035	1244
454	1037	1242
455	1039	1239
456	1041	1237
457	1043	1234
458	1045	1232
459	1047	1230
460	1050	1227
461	1052	1225
462	1054	1222
463	1056	1220
464	1058	1218
465	1060	1215
466	1062	1213
467	1065	1210
468	1067	1208
469	1069	1205
470	1071	1203
471	1073	1200
472	1075	1198
473	1077	1195
474	1079	1193
475	1082	1191
476	1084	1188
477	1086	1186
478	1088	1183
479	1090	1181
480	1092	1178
481	1094	1176
482	1096	1173
483	1098	1171
484	1101	1169
485	1103	1166
486	1105	1164
487	1107	1162
488	1109	1159
489	1112	1157
490	1114	1155
491	1116	1152
492	1119	1150
493	1121	1148
494	1123	1146
495	1126	1144
496	1128	1141
497	1130	1139
498	1132	1137
499	1135	1135
500	1137	1132
501	1139	1130
502	1142	1128
503	1144	1126
504	1146	1124
505	1149	1121
506	1151	1119
507	1153	1117
508	1156	1115
509	1158	1112
510	1160	1110
511	1162	1108
512	1165	1106
513	1167	1103
514	1169	1101
515	1171	1098
516	1174	1096
517	1176	1094
518	1178	1092
519	1181	1090
520	1183	1087
521	1185	1085
522	1187	1082
523	1189	1080
524	1191	1077
525	1193	1075
526	1195	1073
527	1197	1070
528	1199	1068
529	1201	1065
530	1204	1063
531	1206	1061
532	1208	1058
533	1210	1056
534	1212	1054
535	1214	1051
536	1217	1049
537	1219	1046
538	1221	1044
539	1223	1042
540	1225	1040
541	1228	1037
542	1230	1035
543	1232	1033
544	1234	1030
545	1236	1028
546	1239	1026
547	1241	1023
548	1243	1021
549	1245	1019
550	1248	1016
551	1250	1014
552	1252	1012
553	1254	1009
554	1256	1007
555	1258	1004
556	1260	1002
557	1262	1000
558	1264	997
559	1266	995
560	1268	992
561	1270	990
562	1272	988
563	1275	985
564	1277	983
565	1279	980
566	1281	978
567	1283	976
568	1285	973
569	1287	971
570	1289	969
571	1291	966
572	1293	964
573	1296	961
574	1298	959
575	1300	957
576	1302	954
577	1304	952
578	1306	950
579	1308	947
580	1310	945
581	1313	943
582	1315	940
583	1317	938
584	1319	936
585	1321	933
586	1323	931
587	1325	928
588	1327	926
589	1329	924
590	1331	921
591	1334	919
592	1336	917
593	1338	914
594	1340	912
595	1343	910
596	1345	908
597	1347	905
598	1349	903
599	1351	900
600	1353	898
601	1355	896
602	1357	893
603	1359	891
604	1361	889
605	1363	886
606	1365	884
607	1367	881
608	1370	879
609	1372	877
610	1374	875
611	1376	872
612	1379	870
613	1381	868
614	1383	866
615	1385	863
616	1387	861
617	1389	858
618	1391	856
619	1393	854
620	1395	851
621	1397	849
622	1400	847
623	1402	845
624	1404	842
625	1407	840
626	1409	838
627	1412	836
628	1414	834
629	1417	832
630	1419	830
631	1422	828
632	1424	826
633	1427	824
634	1429	821
635	1432	819
636	1434	817
637	1436	814
638	1438	812
639	1440	810
640	1442	808
641	1445	805
642	1447	803
643	1449	801
644	1451	798
645	1453	796
646	1456	794
647	1458	792
648	1460	789
649	1462	787
650	1464	785
651	1466	782
652	1469	780
653	1471	778
654	1474	776
655	1477	774
656	1480	772
657	1482	770
658	1484	768
659	1486	765
660	1488	763
661	1490	761
662	1492	758
663	1495	756
664	1497	754
665	1499	751
666	1501	749
667	1503	747
668	1505	745
669	1508	742
670	1510	740
671	1512	738
672	1514	735
673	1516	733
674	1518	731
675	1521	729
676	1523	726
677	1525	724
678	1527	722
679	1529	719
680	1532	717
681	1534	715
682	1536	713
683	1538	710
684	1541	708
685	1543	706
686	1545	704
687	1547	701
688	1549	699
689	1552	697
690	1554	695
691	1556	692
692	1558	690
693	1561	688
694	1563	686
695	1565	683
696	1568	681
697	1570	679
698	1572	677
699	1574	674
700	1577	672
701	1579	670
702	1581	668
703	1583	665
704	1586	663
705	1588	661
706	1590	659
707	1593	657
708	1595	654
709	1597	652
710	1599	650
711	1601	647
712	1603	645
713	1605	643
714	1607	640
715	1609	638
716	1612	636
717	1614	634
718	1616	631
719	1618	629
720	1621	627
721	1623	625
722	1625	622
723	1627	620
724	1629	618
725	1632	615
726	1634	613
727	1636	611
728	1638	609
729	1640	606
730	1643	604
731	1645	602
732	1647	600
733	1650	598
734	1652	595
735	1654	593
736	1656	591
737	1658	588
738	1661	586
739	1663	584
740	1665	582
741	1667	579
742	1670	577
743	1672	575
744	1674	573
745	1677	571
746	1679	568
747	1681	566
748	1683	564
749	1686	562
750	1688	559
751	1690	557
752	1692	555
753	1695	553
754	1697	550
755	1699	548
756	1702	546
757	1704	544
758	1706	541
759	1708	539
760	1710	537
761	1713	535
762	1715	532
763	1717	530
764	1719	528
765	1721	525
766	1723	523
767	1725	521
768	1728	519
769	1730	516
770	1732	514
771	1734	512
772	1736	509
773	1738	507
774	1740	505
775	1743	503
776	1745	500
777	1747	498
778	1749	496
779	1751	494
780	1753	491
781	1756	489
782	1758	487
783	1761	485
784	1763	482
785	1765	480
786	1768	478
787	1770	476
788	1772	474
789	1774	471
790	1776	469
791	1778	467
792	1780	464
793	1782	462
794	1784	460
795	1787	458
796	1789	455
797	1791	453
798	1793	451
799	1795	448
800	1797	446
801	1799	444
802	1801	442
803	1803	439
804	1805	437
805	1807	435
806	1810	432
807	1812	430
808	1813	428
809	1815	425
810	1817	423
811	1819	421
812	1822	419
813	1824	416
814	1826	414
815	1829	412
816	1831	410
817	1833	407
818	1835	405
819	1837	403
820	1840	401
821	1842	399
822	1845	396
823	1847	394
824	1849	392
825	1852	390
826	1854	388
827	1857	385
828	1859	383
829	1861	381
830	1863	379
831	1865	376
832	1867	374
833	1870	372
834	1872	370
835	1874	367
836	1876	365
837	1878	363
838	1881	361
839	1883	358
840	1885	356
841	1887	354
842	1889	351
843	1891	349
844	1893	347
845	1895	345
846	1897	342
847	1899	340
848	1901	338
849	1903	335
850	1905	333
851	1907	331
852	1909	329
853	1912	326
854	1914	324
855	1916	322
856	1918	320
857	1920	317
858	1922	315
859	1924	313
860	1926	311
861	1928	308
862	1930	306
863	1932	304
864	1934	301
865	1937	299
866	1939	297
867	1941	295
868	1943	292
869	1945	290
870	1947	288
871	1949	286
872	1951	283
873	1953	281
874	1955	279
875	1957	277
876	1959	274
877	1962	272
878	1964	270
879	1966	268
880	1968	265
881	1970	263
882	1972	261
883	1974	259
884	1976	256
885	1978	254
886	1980	252
887	1982	250
888	1984	247
889	1986	245
890	1988	243
891	1990	241
892	1992	238
893	1994	236
894	1997	234
895	1999	232
896	2001	229
897	2003	227
898	2005	225
899	2007	223
900	2009	220
901	2011	218
902	2013	216
903	2015	213
904	2017	211
905	2019	209
906	2021	207
907	2023	204
908	2025	202
909	2027	200
910	2029	198
911	2031	196
912	2033	193
913	2035	191
914	2037	189
915	2039	187
916	2041	184
917	2044	182
918	2046	180
919	2048	178
920	2050	175
921	2052	173
922	2054	171
923	2056	169
924	2058	166
925	2060	164
926	2062	162
927	2064	160
928	2066	157
929	2068	155
930	2070	153
931	2072	151
932	2074	149
933	2077	146
934	2079	144
935	2081	142
936	2083	140
937	2085	137
938	2088	135
939	2090	133
940	2092	131
941	2094	128
942	2096	126
943	2098	124
944	2100	122
945	2103	120
946	2105	117
947	2107	115
948	2109	113
949	2111	111
950	2113	108
951	2115	106
952	2117	104
953	2119	102
954	2121	99
955	2124	97
956	2126	95
957	2128	93
958	2130	91
959	2132	88
960	2134	86
961	2136	84
962	2138	82
963	2139	79
964	2141	77
965	2144	75
966	2146	73
967	2148	71
968	2150	68
969	2152	66
970	2154	64
971	2156	62
972	2158	59
973	2160	57
974	2162	55
975	2164	53
976	2167	51
977	2169	48
978	2171	46
979	2173	44
980	2175	42
981	2177	39
982	2179	37
983	2181	35
984	2183	33
985	2186	31
986	2188	28
987	2190	26
988	2192	24
989	2194	22
990	2196	19
991	2198	17
992	2200	15
993	2202	13
994	2205	11
995	2207	8
996	2209	6
997	2211	4
998	2213	2
999	2215	0
