iter	RMSE
127	13890.6602
128	13851.55601
129	13832.01892
130	13786.05645
131	13752.77684
132	13725.11936
133	13680.09184
134	13659.06117
135	13631.15166
136	13593.87783
137	13549.8559
138	13501.242
139	13474.86584
140	13450.34313
141	13429.72119
142	13398.18906
143	13372.88589
144	13332.59452
145	13306.75558
146	13287.49456
147	13263.83131
148	13243.74123
149	13215.8894
150	13197.71879
151	13156.3943
152	13131.08583
153	13110.33468
154	13074.3173
155	13038.02481
156	13012.48214
157	12964.63595
158	12937.95508
159	12918.86763
160	12888.78125
161	12858.51672
162	12826.36302
163	12809.48948
164	12789.25395
165	12771.07713
166	12753.62998
167	12734.31019
168	12715.5686
169	12682.16222
170	12666.55736
171	12643.15703
172	12624.33167
173	12609.07952
174	12589.16033
175	12568.23934
176	12548.40133
177	12529.60904
178	12495.34963
179	12477.47665
180	12463.26292
181	12450.57507
182	12438.46627
183	12422.23435
184	12406.79899
185	12392.13854
186	12378.19627
187	12364.93281
188	12352.30583
189	12326.71022
190	12314.89939
191	12287.42635
192	12267.86647
193	12259.18156
194	12237.25182
195	12214.80925
196	12188.77584
197	12164.43092
198	12147.63573
199	12133.27061
200	12120.74628
201	12096.63072
202	12082.40826
203	12065.66031
204	12050.91448
205	12029.14551
206	12008.71386
207	11997.11322
208	11968.45461
209	11958.40908
210	11948.8663
211	11939.79615
212	11931.17087
213	11922.96482
214	11915.0706
215	11903.93005
216	11881.12892
217	11870.73976
218	11863.67238
219	11856.9346
220	11841.75259
221	11835.22043
222	11829.00488
223	11816.64341
224	11810.60902
225	11788.80831
226	11783.09491
227	11774.5858
228	11754.02286
229	11729.66313
230	11723.27311
231	11717.25344
232	11704.60567
233	11687.0068
234	11666.06675
235	11648.83283
236	11630.69078
237	11616.07585
238	11589.94071
239	11572.65991
240	11553.56821
241	11540.17922
242	11516.11404
243	11497.41397
244	11484.30105
245	11474.11301
246	11458.55898
247	11440.50534
248	11425.58016
249	11410.06831
250	11390.19937
251	11381.4411
252	11371.51298
253	11361.38333
254	11340.44655
255	11331.23803
256	11317.2689
257	11298.10761
258	11286.40849
259	11269.26918
260	11256.57671
261	11243.55012
262	11235.89526
263	11219.92858
264	11204.07977
265	11193.20717
266	11176.52732
267	11172.18306
268	11160.52073
269	11147.19051
270	11138.3086
271	11127.369
272	11109.74253
273	11099.7145
274	11077.58174
275	11062.25723
276	11058.07663
277	11054.11451
278	11046.67562
279	11038.3478
280	11025.03468
281	11021.26677
282	11005.10273
283	10982.95754
284	10969.29203
285	10962.40303
286	10950.24707
287	10938.49974
288	10934.9514
289	10922.10871
290	10906.36391
291	10894.21979
292	10885.26447
293	10877.87163
294	10871.95391
295	10855.29112
296	10837.14516
297	10833.7313
298	10825.50371
299	10822.26238
300	10814.05612
301	10806.34346
302	10800.62594
303	10790.05388
304	10783.43259
305	10780.48281
306	10768.84934
307	10761.74237
308	10759.17759
309	10752.59078
310	10743.89563
311	10733.04994
312	10725.0028
313	10715.8936
314	10708.68944
315	10696.56608
316	10686.87953
317	10682.45861
318	10675.27287
319	10667.76809
320	10655.07437
321	10645.52469
322	10636.03186
323	10627.36768
324	10617.08347
325	10610.38698
326	10593.63697
327	10586.02888
328	10577.50024
329	10571.93964
330	10564.6494
331	10558.63553
332	10550.65539
333	10524.86364
334	10513.74384
335	10500.69995
336	10488.97103
337	10464.8025
338	10459.84136
339	10451.52755
340	10445.97216
341	10436.11327
342	10424.21858
343	10415.48275
344	10406.11188
345	10398.59722
346	10391.97559
347	10382.80002
348	10376.04115
349	10371.53584
350	10359.43946
351	10352.07586
352	10344.10215
353	10337.25799
354	10315.8903
355	10302.83167
356	10290.646
357	10286.31926
358	10277.52003
359	10275.06032
360	10264.0133
361	10259.79909
362	10254.46169
363	10252.39944
364	10245.8732
365	10225.55188
366	10220.02876
367	10214.13331
368	10206.29025
369	10197.08159
370	10191.7527
371	10173.83539
372	10167.41066
373	10160.87345
374	10150.88748
375	10145.94461
376	10138.8533
377	10132.83968
378	10125.92026
379	10121.39821
380	10116.97645
381	10114.09455
382	10104.59892
383	10102.41484
384	10096.37308
385	10090.50697
386	10085.60428
387	10079.88759
388	10074.24798
389	10069.1672
390	10064.58945
391	10062.63568
392	10058.3001
393	10044.68012
394	10042.81941
395	10032.83752
396	10028.57481
397	10026.8295
398	10021.03208
399	10016.70545
400	10007.87045
401	10005.2993
402	10001.41431
403	9996.356861
404	9994.142841
405	9989.648975
406	9983.739394
407	9981.526967
408	9976.65616
409	9966.494061
410	9961.737512
411	9954.589918
412	9945.707631
413	9939.286996
414	9934.941231
415	9927.647974
416	9917.513964
417	9911.924618
418	9906.334832
419	9899.409231
420	9893.997075
421	9886.557893
422	9882.51874
423	9870.18857
424	9865.202034
425	9858.895163
426	9850.915599
427	9840.896786
428	9834.859231
429	9829.763005
430	9823.364843
431	9813.420705
432	9809.284739
433	9785.658388
434	9781.935034
435	9778.459531
436	9774.488831
437	9766.619757
438	9762.390249
439	9754.163736
440	9746.946952
441	9743.30736
442	9738.752471
443	9734.672003
444	9727.599742
445	9716.928627
446	9712.571948
447	9707.051099
448	9701.173252
449	9697.465883
450	9691.009734
451	9688.984914
452	9684.846083
453	9681.475385
454	9679.906194
455	9675.46002
456	9667.691445
457	9661.795524
458	9658.02984
459	9649.919534
460	9643.826038
461	9637.309197
462	9631.762989
463	9626.085458
464	9618.92582
465	9615.29632
466	9612.831487
467	9609.039845
468	9606.407778
469	9600.760364
470	9595.773563
471	9590.148314
472	9584.917579
473	9579.483278
474	9573.781028
475	9560.382312
476	9556.227751
477	9549.58686
478	9543.550563
479	9542.532643
480	9538.803142
481	9535.234499
482	9530.451053
483	9525.581429
484	9522.283877
485	9516.985706
486	9513.794142
487	9507.276825
488	9502.903357
489	9499.329626
490	9494.706606
491	9491.073091
492	9489.975185
493	9486.007878
494	9481.188057
495	9479.906935
496	9479.038164
497	9475.524126
498	9471.292926
499	9448.38884
500	9445.145541
501	9427.830803
502	9424.768351
503	9417.521633
504	9413.952149
505	9406.511238
506	9389.44404
507	9386.57305
508	9379.48701
509	9375.822234
510	9371.735576
511	9367.076655
512	9364.069145
513	9347.319156
514	9345.688348
515	9343.261596
516	9338.065651
517	9333.129584
518	9326.657381
519	9321.862547
520	9319.782279
521	9313.585841
522	9312.455758
523	9311.934898
524	9307.120543
525	9305.070789
526	9299.282203
527	9293.184265
528	9271.662976
529	9270.567421
530	9267.419538
531	9264.240834
532	9259.460411
533	9257.870188
534	9253.707685
535	9246.851917
536	9244.256594
537	9241.424917
538	9240.43722
539	9237.274579
540	9232.868717
541	9228.192562
542	9224.400764
543	9220.370908
544	9217.689286
545	9215.125515
546	9212.613485
547	9207.07154
548	9202.893171
549	9199.283759
550	9195.188044
551	9190.566843
552	9187.521259
553	9183.60408
554	9179.643455
555	9178.001439
556	9176.337044
557	9169.176074
558	9165.60621
559	9160.761971
560	9157.677975
561	9153.725702
562	9149.523281
563	9146.056568
564	9141.44659
565	9139.262702
566	9137.822607
567	9134.197759
568	9130.707083
569	9126.052418
570	9122.727097
571	9119.06439
572	9116.035524
573	9111.737499
574	9106.278365
575	9102.541671
576	9099.30509
577	9094.732194
578	9081.520694
579	9077.862573
580	9075.619975
581	9070.951556
582	9068.745679
583	9066.042433
584	9063.507907
585	9059.551281
586	9056.225023
587	9053.195056
588	9051.358192
589	9049.827248
590	9046.375234
591	9044.150163
592	9040.001024
593	9037.860938
594	9034.395314
595	9029.898262
596	9026.310067
597	9023.636229
598	9021.514567
599	9016.291257
600	9012.118037
601	9009.645701
602	9003.982988
603	9000.094191
604	8997.271796
605	8994.105989
606	8988.800456
607	8986.121231
608	8979.371875
609	8975.840498
610	8972.461328
611	8970.557131
612	8968.460741
613	8966.475723
614	8964.790084
615	8962.423948
616	8959.796639
617	8957.9564
618	8956.225516
619	8954.435372
620	8951.273993
621	8949.254548
622	8946.774447
623	8943.29471
624	8940.680664
625	8939.964486
626	8934.599359
627	8932.601149
628	8930.443892
629	8917.521858
630	8914.894079
631	8912.115793
632	8905.272344
633	8902.76639
634	8898.57163
635	8895.110677
636	8888.777211
637	8886.166986
638	8883.778062
639	8879.725188
640	8875.977914
641	8872.587846
642	8867.87393
643	8864.709504
644	8861.578475
645	8856.864719
646	8851.023993
647	8848.179751
648	8844.338148
649	8842.579197
650	8840.937977
651	8819.537409
652	8816.929263
653	8814.280475
654	8809.639999
655	8807.359371
656	8805.38394
657	8802.942874
658	8801.665083
659	8797.329535
660	8795.73821
661	8793.14238
662	8788.767934
663	8784.234027
664	8780.965395
665	8778.505061
666	8777.059926
667	8774.430192
668	8761.832547
669	8741.107055
670	8737.776213
671	8733.165101
672	8731.409028
673	8729.1431
674	8726.441388
675	8725.12595
676	8719.96084
677	8717.047609
678	8714.28139
679	8712.672886
680	8693.435356
681	8689.924354
682	8689.324531
683	8686.631779
684	8685.224495
685	8684.0901
686	8680.299447
687	8677.710264
688	8671.332425
689	8667.556516
690	8666.152365
691	8663.278957
692	8659.225511
693	8657.434835
694	8641.840212
695	8623.210421
696	8619.706449
697	8619.311096
698	8616.119799
699	8614.182793
700	8609.885223
701	8607.588304
702	8605.521679
703	8601.741345
704	8600.152454
705	8597.449835
706	8596.037967
707	8593.747108
708	8591.105235
709	8586.544384
710	8582.696141
711	8580.033218
712	8578.50537
713	8572.501366
714	8568.688519
715	8566.423192
716	8563.201621
717	8561.951697
718	8560.334787
719	8557.65958
720	8555.305782
721	8536.903555
722	8517.142928
723	8514.889354
724	8509.146592
725	8506.306599
726	8504.910056
727	8501.197134
728	8498.668068
729	8497.29044
730	8492.923246
731	8474.25086
732	8470.073553
733	8467.846205
734	8464.989374
735	8461.907923
736	8458.446325
737	8453.111557
738	8449.207495
739	8447.372894
740	8445.378035
741	8442.793517
742	8428.456434
743	8426.50394
744	8424.585617
745	8421.524334
746	8419.696353
747	8417.198253
748	8415.302814
749	8414.105613
750	8411.189665
751	8409.790965
752	8406.840597
753	8402.357198
754	8383.77269
755	8381.390722
756	8378.918115
757	8376.65715
758	8375.840965
759	8373.386036
760	8372.313079
761	8372.034141
762	8370.96203
763	8367.798448
764	8350.270079
765	8348.078107
766	8344.275993
767	8342.139058
768	8340.582537
769	8338.154858
770	8335.124982
771	8333.936345
772	8331.181638
773	8329.749361
774	8327.455672
775	8310.485909
776	8309.370635
777	8307.236978
778	8305.885342
779	8302.549263
780	8301.851498
781	8299.4296
782	8297.31809
783	8295.414009
784	8293.887056
785	8291.80182
786	8289.48798
787	8288.615172
788	8286.633584
789	8285.967525
790	8283.287284
791	8266.929
792	8265.668212
793	8263.647374
794	8261.030172
795	8258.303846
796	8256.534965
797	8252.711687
798	8249.361488
799	8247.780306
800	8245.935741
801	8242.734036
802	8240.621358
803	8237.863255
804	8222.085076
805	8220.179584
806	8216.146001
807	8201.014332
808	8199.378023
809	8198.218593
810	8195.181034
811	8192.776422
812	8191.505518
813	8187.702062
814	8186.356238
815	8183.979704
816	8182.119365
817	8180.389253
818	8177.386493
819	8175.417843
820	8172.147565
821	8169.683996
822	8155.082876
823	8153.460291
824	8151.732296
825	8149.666349
826	8147.781433
827	8133.6829
828	8132.435194
829	8131.713599
830	8128.751473
831	8126.41046
832	8124.953812
833	8122.978839
834	8113.968285
835	8112.992114
836	8111.485341
837	8109.269108
838	8107.901591
839	8104.902207
840	8102.433354
841	8101.223497
842	8098.387007
843	8096.355821
844	8093.150712
845	8091.630087
846	8090.93101
847	8088.713676
848	8087.639226
849	8085.409555
850	8083.187497
851	8081.404576
852	8080.524714
853	8076.533715
854	8074.952221
855	8073.499511
856	8056.198009
857	8054.451523
858	8052.376774
859	8050.654425
860	8049.781394
861	8046.894031
862	8044.843184
863	8042.172269
864	8040.426518
865	8023.762741
866	8021.076363
867	8019.570647
868	8017.360254
869	8015.40815
870	8014.471193
871	8001.089699
872	7998.87376
873	7997.308723
874	7996.03473
875	7993.78523
876	7980.917556
877	7979.347348
878	7977.270693
879	7974.48114
880	7971.702624
881	7969.506945
882	7966.338618
883	7964.286462
884	7963.20175
885	7950.81234
886	7948.562275
887	7947.438717
888	7935.529201
889	7933.774206
890	7932.878508
891	7930.399589
892	7929.021339
893	7926.565743
894	7924.709753
895	7922.29926
896	7920.900786
897	7920.045037
898	7917.22611
899	7915.322517
900	7914.491639
901	7912.664321
902	7911.210954
903	7910.870067
904	7909.404192
905	7897.940127
906	7896.185382
907	7893.584285
908	7891.130905
909	7889.130382
910	7887.854292
911	7886.031465
912	7884.46469
913	7883.147468
914	7880.886168
915	7879.356415
916	7875.764736
917	7874.420822
918	7870.187799
919	7868.769194
920	7866.856403
921	7865.531881
922	7864.587346
923	7862.493081
924	7860.421612
925	7858.161783
926	7855.006053
927	7853.506238
928	7851.630463
929	7850.159827
930	7848.496435
931	7847.386675
932	7845.905872
933	7843.518589
934	7839.194375
935	7822.838123
936	7811.825447
937	7809.309031
938	7806.049714
939	7803.931341
940	7800.872254
941	7800.042678
942	7796.655815
943	7793.5022
944	7791.563147
945	7789.914031
946	7787.218517
947	7785.936409
948	7783.064481
949	7780.605908
950	7779.555419
951	7777.377314
952	7776.222803
953	7774.891585
954	7773.359239
955	7771.136257
956	7770.020326
957	7767.177575
958	7766.059639
959	7764.371286
960	7763.656315
961	7760.775537
962	7758.63729
963	7756.67987
964	7754.572927
965	7752.479263
966	7750.573726
967	7749.340997
968	7747.280118
969	7736.565675
970	7734.778651
971	7733.829588
972	7732.608754
973	7731.353803
974	7729.943797
975	7719.645227
976	7718.689234
977	7718.206892
978	7715.544248
979	7713.815239
980	7711.008423
981	7708.916749
982	7707.232284
983	7705.784982
984	7704.339485
985	7702.554755
986	7692.636267
987	7691.384873
988	7690.056298
989	7688.87929
990	7687.334724
991	7671.377186
992	7668.162021
993	7666.769727
994	7664.782605
995	7663.532798
996	7648.174475
997	7646.50263
998	7644.487904
999	7642.006098
