model,MAE,MSE,R2
CatBoost,5019.387298607727,193323149.6994914,0.9126796494527382
LightGBM,4410.696150323646,351655330.0554082,0.8411640471408475
RandomForest,5061.472602592441,217272925.92490226,0.9018619959084929
XGBoost,3764.969456998081,86654966.65869567,0.9608596172933215
